name,cuisine_type,foursquare_v1,yelp_url,menupages_url,grubhub_url,address_description,address_1,city_town,state_province,postal_code,phone,fax,website_url
Ann Sather,Scandinavian,93955,http://www.yelp.com/biz/ann-sather-restaurant-chicago,http://chicago.menupages.com/restaurants/ann-sather-2/,,,3411 N Broadway St,Chicago,IL,60657,(773) 305-0024,,http://annsather.com/Restaraunts%2520Pages/Belmont_Bkfst.html
Ann Sather,Scandinavian,48343,http://www.yelp.com/biz/ann-sathers-chicago-2,http://chicago.menupages.com/restaurants/ann-sather/,,,3416 N Southport Ave,Chicago,IL,60657,(773) 404-4475,,http://annsather.com/restaurants/locations.shtml
Ann Sather,Scandinavian,49502,http://www.yelp.com/biz/ann-sather-chicago,http://chicago.menupages.com/restaurants/ann-sather-4/,,,5207 N Clark St,Chicago,IL,60640,(773) 271-6677,,http://annsather.com/
Ann Sather,Scandinavian,415229,http://www.yelp.com/biz/ann-sather-chicago-2,http://chicago.menupages.com/restaurants/ann-sather-3/,,,909 W Belmont Ave,Chicago,IL,60657,(773) 348-2378,,http://annsather.com
Arun's Thai Restaurant,Thai,98972,http://www.yelp.com/biz/aruns-thai-restaurant-chicago,http://chicago.menupages.com/restaurants/aruns/,,,4156 N Kedzie Ave,Chicago,IL,60618,(773) 539-1909,,http://www.arunsthai.com
Athena Restaurant,Greek,88531,http://www.yelp.com/biz/athena-restaurant-chicago,http://chicago.menupages.com/restaurants/athena/,,,212 S Halsted St,Chicago,IL,60661,(312) 655-0000,,http://www.athenarestaurantchicago.com/
Avec,French,17662,http://www.yelp.com/biz/avec-chicago,http://chicago.menupages.com/restaurants/avec/,,,615 W Randolph St,Chicago,IL,60606,(312) 377-2002,,http://www.avecrestaurant.com
Bar Louie,Nightlife,2500961,http://www.yelp.com/biz/bar-louie-chicago-3,http://chicago.menupages.com/restaurants/bar-louie-5/,,,5500 S Shore Dr,Chicago,IL,60686,(773) 363-5300,,http://www..barlouieamerica.com/hydeparkhtml
Ben Pao,Chinese,87456,http://www.yelp.com/biz/ben-pao-chicago,http://chicago.menupages.com/restaurants/ben-pao/,,,52 W Illinois St,Chicago,IL,60654,(312) 222-1888,,http://www..BenPao.com
Bin 36,Wine Bars,40700,http://www.yelp.com/biz/bin-36-chicago,http://chicago.menupages.com/restaurants/bin-36/,,,339 N Dearborn St,Chicago,IL,60654,(312) 755-9463,,http://www.bin36.com
Bistro 110,French,105427,http://www.yelp.com/biz/bistro-110-chicago,http://chicago.menupages.com/restaurants/bistro-110/,,,110 E Pearson St,Chicago,IL,60611,(312) 266-3110,,http://www.bistro110restaurant.com
Bistrot Zinc,French,82375,http://www.yelp.com/biz/bistrot-zinc-chicago,http://chicago.menupages.com/restaurants/bistrot-zinc/,,,1131 N State St,Chicago,IL,60611,(312) 337-1131,,http://www.bistrotzinc.com
Blackbird,American (New),45062,http://www.yelp.com/biz/blackbird-chicago,http://chicago.menupages.com/restaurants/blackbird/,,,619 W Randolph St,Chicago,IL,60606,(312) 715-0708,,http://www.blackbirdrestaurant.com
Boka,American (New),71082,http://www.yelp.com/biz/boka-chicago,http://chicago.menupages.com/restaurants/boka/,,,1729 N Halsted St,Chicago,IL,60614,(312) 337-6070,,http://www.bokachicago.com
Bongo Room,Breakfast & Brunch,262051,http://www.yelp.com/biz/bongo-room-chicago,http://chicago.menupages.com/restaurants/bongo-room-2/,,,1152 S Wabash Ave,Chicago,IL,60605,(312) 291-0100,,http://www.thebongoroom.com
Bonjour Cafe Bakery,Bakeries,68369,http://www.yelp.com/biz/bonjour-cafe-bakery-chicago,http://chicago.menupages.com/restaurants/bonjour-bakery-cafe/,,,1550 E 55th St,Chicago,IL,60615,(773) 241-5300
Cafe 28,Cuban,3065,http://www.yelp.com/biz/cafe-28-chicago,http://chicago.menupages.com/restaurants/cafe-28/,,,1800 W Irving Park Rd,Chicago,IL,60613,(773) 528-2883,,http://www.cafe28org
Cafe Ba-Ba-Reeba,Spanish,17916,http://www.yelp.com/biz/cafe-ba-ba-reeba-chicago,http://chicago.menupages.com/restaurants/cafe-ba-ba-reeba/,,,2024 N Halsted St,Chicago,IL,60614,(773) 935-5000,,http://www.cafebabareeba.com
Café Spiaggia,Italian,54007,http://www.yelp.com/biz/cafe-spiaggia-chicago-2,http://chicago.menupages.com/restaurants/cafe-spiaggia/,,,980 N Michigan Ave Fl 2,Chicago,IL,60611,(312) 280-2750,,http://www.spiaggiarestaurant.com/%23/cafe/general-info/
