restaurant_foursquare_v1,restaurant_name,restaurant_address,menu_section,menu_subsection,item_number,item_name,item_price,item_price_values,item_price_keys,item_description
306878,Chicago Joe's,2256 W Irving Park Rd,GrubHub,Popular Items,,Joe’s Cheeseborgers,9.95,,,"1/2 pound patty of price angus beef, topped with choice of cheese, and served with fresh pickle, cole slaw, and choice of side."
306878,Chicago Joe's,2256 W Irving Park Rd,GrubHub,Popular Items,,Wrigleyville Fully Loaded,9.95,,,"Crisp smoked bacon, drizzled Joe’s BBQ sauce, and your choice of cheese. Served with fresh pickle, cole slaw, and choice of side."
306878,Chicago Joe's,2256 W Irving Park Rd,GrubHub,Popular Items,,Chicken Fingers,8.95,,,Breaded or blackened.
306878,Chicago Joe's,2256 W Irving Park Rd,GrubHub,Popular Items,,Burned Out Bleu,9.95,,,"Topped with bleu cheese on a garlic toasted bun. Served with fresh pickle, cole slaw, and choice of side."
306878,Chicago Joe's,2256 W Irving Park Rd,GrubHub,Popular Items,,Patty Melt,9.95,,,"Cheddar and Swiss cheeses, grilled onion, served on rye bread. Served with fresh pickle, cole slaw, and choice of side."
306878,Chicago Joe's,2256 W Irving Park Rd,GrubHub,Beverages,,20 oz. Coke,3.0,,,
306878,Chicago Joe's,2256 W Irving Park Rd,GrubHub,Beverages,,20 oz. Diet Coke,3.0,,,
306878,Chicago Joe's,2256 W Irving Park Rd,GrubHub,Beverages,,20 oz. Sprite,3.0,,,
306878,Chicago Joe's,2256 W Irving Park Rd,GrubHub,First Edition,,Chili,4.5,,,
306878,Chicago Joe's,2256 W Irving Park Rd,GrubHub,First Edition,,Onion Mound,5.95,,,
306878,Chicago Joe's,2256 W Irving Park Rd,GrubHub,First Edition,,Mozzarella Sticks [Not Available] ,6.95,,,
306878,Chicago Joe's,2256 W Irving Park Rd,GrubHub,First Edition,,Jumbo Chicken wings,8.95,,,
306878,Chicago Joe's,2256 W Irving Park Rd,GrubHub,First Edition,,Chicken Fingers,8.95,,,Breaded or blackened.
306878,Chicago Joe's,2256 W Irving Park Rd,GrubHub,First Edition,,Fried Calamari,10.95,,,
306878,Chicago Joe's,2256 W Irving Park Rd,GrubHub,First Edition,,Jumbo Fried Shrimp,8.95,,,
306878,Chicago Joe's,2256 W Irving Park Rd,GrubHub,First Edition,,Oysters on 1/2 Shells,7.95,,,
306878,Chicago Joe's,2256 W Irving Park Rd,GrubHub,First Edition,,Oyster Rockefeller,9.95,,,1/2 dozen.
306878,Chicago Joe's,2256 W Irving Park Rd,GrubHub,First Edition,,Appetizer Sampler,12.95,,,"Mozzarella sticks, chicken wings, chicken fingers, and onion rings."
306878,Chicago Joe's,2256 W Irving Park Rd,GrubHub,Joe's Fresh Salads,,House Salad,8.95,,,
306878,Chicago Joe's,2256 W Irving Park Rd,GrubHub,Joe's Fresh Salads,,Tex Mex Salad,9.95,,,
306878,Chicago Joe's,2256 W Irving Park Rd,GrubHub,Joe's Fresh Salads,,Cobb Salad,9.95,,,
306878,Chicago Joe's,2256 W Irving Park Rd,GrubHub,Joe's Fresh Salads,,Caesar Salad,8.95,,,
306878,Chicago Joe's,2256 W Irving Park Rd,GrubHub,Burger Art Museum,,Joe’s Cheeseborgers,9.95,,,"1/2 pound patty of price angus beef, topped with choice of cheese, and served with fresh pickle, cole slaw, and choice of side."
306878,Chicago Joe's,2256 W Irving Park Rd,GrubHub,Burger Art Museum,,Irving Park Roast Trip,9.95,,,"Pepper jack cheese, homemade guacamole, and salads topped with a dab of sour cream. Served with fresh pickle, cole slaw, and choice of side."
306878,Chicago Joe's,2256 W Irving Park Rd,GrubHub,Burger Art Museum,,Bears Sunday Shuffle,9.95,,,"Joe’s sloppy Joe, pepper jack and cheese cheese, and onion mound. Served with fresh pickle, cole slaw, and choice of side."
306878,Chicago Joe's,2256 W Irving Park Rd,GrubHub,Burger Art Museum,,Wrigleyville Fully Loaded,9.95,,,"Crisp smoked bacon, drizzled Joe’s BBQ sauce, and your choice of cheese. Served with fresh pickle, cole slaw, and choice of side."
306878,Chicago Joe's,2256 W Irving Park Rd,GrubHub,Burger Art Museum,,Chicago Joe’s Sunday Brunch,9.95,,,"Fried egg, bacon, cheddar cheese, maple syrup, served on french toast. Served with fresh pickle, cole slaw, and choice of side."
