restaurant_foursquare_v1,restaurant_name,restaurant_address,menu_section,menu_subsection,item_number,item_name,item_prices,item_description
306878,Chicago Joe's,2256 W Irving Park Rd,,First Edition,,Mrs. O’Leary’s Firehouse Chili,3.95|4.5,
306878,Chicago Joe's,2256 W Irving Park Rd,,First Edition,,Joe's Special Gumbo,3.95|4.5,
306878,Chicago Joe's,2256 W Irving Park Rd,,First Edition,,Soup Of The Day,3.5|3.95,
306878,Chicago Joe's,2256 W Irving Park Rd,,First Edition,,Onion Mound,5.95,
306878,Chicago Joe's,2256 W Irving Park Rd,,First Edition,,Fried Calamari,9.95,
306878,Chicago Joe's,2256 W Irving Park Rd,,First Edition,,Raw Oysters And Clam,,
306878,Chicago Joe's,2256 W Irving Park Rd,,First Edition,,Oysters Rockefeller,9.95,(1/2 dozen)
306878,Chicago Joe's,2256 W Irving Park Rd,,First Edition,,Baked Clams,9.95,(1/2 dozen)
306878,Chicago Joe's,2256 W Irving Park Rd,,First Edition,,Clams Casino,9.95,(1/2 dozen)
306878,Chicago Joe's,2256 W Irving Park Rd,,First Edition,,Steamed Clams,10.95,(1 dozen)
306878,Chicago Joe's,2256 W Irving Park Rd,,First Edition,,Grilled Calamari,10.95,
306878,Chicago Joe's,2256 W Irving Park Rd,,First Edition,,Fried Jumbo Shrimp,3.25,each
306878,Chicago Joe's,2256 W Irving Park Rd,,First Edition,,Joe's Buffalo Wings,8.95,
306878,Chicago Joe's,2256 W Irving Park Rd,,First Edition,,Mozzarella Stix Marinara,7.95,
306878,Chicago Joe's,2256 W Irving Park Rd,,First Edition,,Blackened Shrimp,9.95,
306878,Chicago Joe's,2256 W Irving Park Rd,,First Edition,,Fried Shrimp Appetizer,9.95,
306878,Chicago Joe's,2256 W Irving Park Rd,,First Edition,,Sauteed Garlic Shrimp,8.95,
306878,Chicago Joe's,2256 W Irving Park Rd,,First Edition,,Blackened Chicken Fingers,6.95,
306878,Chicago Joe's,2256 W Irving Park Rd,,First Edition,,Coconut Shrimp,8.95,
306878,Chicago Joe's,2256 W Irving Park Rd,,First Edition,,Peel & Eat Shrimp,7.95|12.95,(by the 1/2 pound or the 1/4 pound)
306878,Chicago Joe's,2256 W Irving Park Rd,,Joe Linked To Great Salads,,Tex Mex,9.95,
306878,Chicago Joe's,2256 W Irving Park Rd,,Joe Linked To Great Salads,,Julienne,9.95,
306878,Chicago Joe's,2256 W Irving Park Rd,,Joe Linked To Great Salads,,Spinach,7.95,
306878,Chicago Joe's,2256 W Irving Park Rd,,Joe Linked To Great Salads,,Caesar,8.95,
306878,Chicago Joe's,2256 W Irving Park Rd,,Joe Linked To Great Salads,,Large House,7.95,
306878,Chicago Joe's,2256 W Irving Park Rd,,Joe Linked To Great Salads,,Cobb,9.95,
306878,Chicago Joe's,2256 W Irving Park Rd,,Joe Linked To Great Salads,,,,"Dressings: Thousand, Creamy Garlic, Italian, French And House"
306878,Chicago Joe's,2256 W Irving Park Rd,,Study Shows Joe's Pasta Chicago's Best,,Mostaccioli,12.95,with sausage
306878,Chicago Joe's,2256 W Irving Park Rd,,Joe's Sandwiches Top Poll,,Cheezeborgers,8.95,
306878,Chicago Joe's,2256 W Irving Park Rd,,Joe's Sandwiches Top Poll,,Veggie Burger,8.95,
306878,Chicago Joe's,2256 W Irving Park Rd,,Joe's Sandwiches Top Poll,,Turkey Burger,8.95,
306878,Chicago Joe's,2256 W Irving Park Rd,,Joe's Sandwiches Top Poll,,Ribwich,9.95,
